off_id,agribalyse_en,agribalyse_fr
en:black-wild-rice,"Rice, mix of species (white, wholegrain, wild, red,etc.), raw","Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru"
en:blackberry,"Blackberry, raw","Mûre (de ronce), crue"
en:blackcurrant,"Black currant, raw","Cassis, cru"
en:blackcurrant-juice,"Black currant, raw","Cassis, cru"
en:blackcurrant-puree,"Black currant, raw","Cassis, cru"
en:blend-of-non-eu-honey,Honey,Miel
en:blended-scotch-whisky,Whisky,Whisky
en:blue-grenadier,"Grenadier, from any fishing spot, raw","Hoki, tout lieu de pêche, cru"
en:blue-grenadier,"Blue grenadier, raw","Grenadier bleu ou hoki de Nouvelle-Zélande, cru"
en:blue-mussel,"Mussel, common, raw","Moule commune, crue"
en:blue-whiting,"Whiting, steamed","Merlan, cuit à la vapeur"
en:blueberry,"Blueberry, raw","Myrtille, crue"
en:blueberry-juice,"Blueberry, raw","Myrtille, crue"
en:blueberry-puree,"Blueberry, raw","Myrtille, crue"
en:boiled-egg,"Egg, hard-boiled","Oeuf, dur"
en:bolognese-sauce,"Tomato sauce, with meat or Bolognese sauce, prepacked","Sauce tomate à la viande ou Sauce bolognaise, préemballée"
en:bourbon-vanilla-extract,"Vanilla, aqueous extract","Vanille, extrait aqueux"
en:bran,Wheat bran,Son de blé
en:bran,Oat bran,Son d'avoine
en:bran,Maize/corn bran,Son de maïs
en:bran,Rice bran,Son de riz
en:brazil-nut,Brazil nut,Noix du Brésil
en:bread,"Bread, French bread, ball, 400g","Pain courant français, 400g ou boule"
en:bread,"Bread, French bread, baguette","Pain, baguette, courante"
en:bread,"Bread, gluten free","Pain, sans gluten"
en:bread,"Sandwich loaf, crust less, prepacked","Pain de mie, sans croûte, préemballé"
en:bread,"Bread, French bread, without salt","Pain, baguette, sans sel"
en:bread,"Bread, home-made, with flour for home-made bread preparation",Pain blanc maison (avec farine pour machine à pain)
en:bread,"Bread, French bread, baguette, unsalted","Pain, baguette, de tradition française"
en:bread,"Country-style bread, French bread (baguette or ball)","Pain, baguette ou boule, de campagne"
en:bread,"Sandwich loaf, wholemeal","Pain de mie, complet"
en:bread,"Sandwich loaf, multigrain","Pain de mie, multicéréale"
en:bread,"Bread, French bread, (baguette or ball), multigrain, from bakery","Pain, baguette ou boule, aux céréales et graines, artisanal"
en:bread,Panini bread,Pain panini
en:bread,"Country-style bread, home-made (with flour for bread making machine)",Pain de campagne maison (avec farine pour machine à pain)
en:bread,Bran grain bread,Pain au son
en:bread,"Bread, wholemeal or integral bread (made with flour type 150)",Pain complet ou intégral (à la farine T150)
en:bread,"Brear (baguette or ball), made with type T55-T110 flour","Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110)"
en:bread,"Brown bread, French bread (baguette or ball), with flour type 80 or 110","Pain, baguette ou boule, bis (à la farine T80 ou T110) "
en:bread,"Rye bread, and wheat","Pain de seigle, et froment"
en:bread,"Bread, French bread (baguette or ball), with yeast","Pain, baguette ou boule, au levain"
en:breadfruit,"Breadfruit, raw","Fruit à pain, cru"
en:breadmeal,"Brioche sandwich bread, prepacked","Pain de mie brioché, préemballé"
en:breadmeal,Sandwich loaf,"Pain de mie, courant"
en:breadmeal,"Sandwich loaf, crust less, prepacked","Pain de mie, sans croûte, préemballé"
en:breadmeal,"Sandwich loaf, bran grain","Pain de mie, au son"
en:breadmeal,"Sandwich loaf, wholemeal","Pain de mie, complet"
en:breadmeal,"Sandwich loaf, multigrain","Pain de mie, multicéréale"
en:brioche,"Brioche, prepacked","Brioche, préemballée"
en:brioche,"Brioche, pure butter",Brioche pur beurre
en:brioche,Brioche or Vienna bread,Pain brioché ou viennois
en:brioche,Brioche,"Brioche, sans précision"
en:brioche,"Brioche, from bakery","Brioche, de boulangerie traditionnelle"
en:broad-bean,"Broad bean, fresh, frozen","Fève, fraîche, surgelée"
en:broad-bean,"Broad bean, peeled, frozen, raw","Fève, pelée, surgelée, crue"
en:broccoli,"Broccoli, raw","Brocoli, cru"
en:broccoli-cress,"Broccoli, raw","Brocoli, cru"
en:broccoli-floret,"Broccoli, raw","Brocoli, cru"
en:broth,"Broth, stock or bouillon, vegetables, dehydrated and reconstituted","Bouillon de légumes, déshydraté reconstitué"
en:broth,"Aromatic stock cube, for fish, dehydrated","Court-bouillon pour poissons, déshydraté"
en:brown-basmati-rice,"Rice, brown, raw","Riz complet, cru"
en:brown-cane-sugar,"Sugar, brown",Sucre roux
en:brown-cane-sugar-cubes,"Sugar, brown",Sucre roux
en:brown-flax-seeds,"Flaxseed, brown","Lin, brun, graine"
en:brown-long-grain-rice,"Rice, brown, raw","Riz complet, cru"
en:brown-rice,"Rice, brown, raw","Riz complet, cru"
en:brown-rice-flour,Rice flour,Farine de riz
en:brussels-sprouts,"Brussels sprout, raw","Chou de Bruxelles, cru"
en:buckwheat,"Buckwheat, whole, raw","Sarrasin entier, cru"
en:buckwheat-flour,Buckwheat flour,Farine de sarrasin
en:bulgur,"Wheat bulgur, raw","Boulgour de blé, cru"
en:burbot,"Anglerfish, raw","Lotte ou baudroie, crue"
en:butter,"Butter, 82% fat, unsalted","Beurre à 82% MG, doux"
en:butter,"Butter, 82% fat, unsalted, easy-to-spread","Beurre à 82% MG, doux, tendre"
en:butternut-squash,"Squash, butternut, pulp, raw","Courge doubeurre (butternut), pulpe, crue"
en:cabbage,"Red cabbage, raw","Chou rouge, cru"
en:cabbage,"Green cabbage, raw","Chou vert, cru"
en:cabbage,"Chinese cabbage (nappa cabbage or bok choy), raw","Chou chinois ou pak-choi ou pé-tsai, cru"
en:cabbage,"White cabbage, raw","Chou blanc, cru"
en:cabbage,"Curly kale, raw","Chou frisé, cru"
en:cactus-fig,"Prickly pear, pulp and seeds, raw","Figue de Barbarie, pulpe et graines, crue"
en:calf-s-liver,"Liver, calf, raw","Foie, veau, cru"
en:camargue-long-grain-white-rice,"Rice, raw","Riz blanc, cru"
en:camargue-whole-long-grain-black-rice,"Rice, brown, raw","Riz complet, cru"
en:camargue-whole-long-grain-rice,"Rice, brown, raw","Riz complet, cru"
en:camelina-oil,Linseed oil,Huile de lin
en:camembert,"Camembert cheese, from cow's milk, from raw milk",Camembert au lait cru
en:camembert,"Camembert cheese, from cow's milk","Camembert, sans précision"
en:camembert,Soft-ripened cheese with bloomy rind (Camembert-type cheese),Fromage à pâte molle et croûte fleurie (type camembert)
en:candied-orange-peel,"Lemon zest, raw","Citron, zeste, cru"
en:cane-sugar,"Sugar, brown",Sucre roux
en:cane-sugar-cubes,"Sugar, brown",Sucre roux
en:cantaloupe,"Melon, cantaloupe (ex Cavaillon or Charentais melon), pulp, raw","Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru"
en:capelin,"Capelin, raw","Capelan, cru"
en:caramelised-skimmed-milk-powder,"Milk, powder, skimmed","Lait en poudre, écrémé"
en:caramelised-sugar,"Sugar, brown",Sucre roux
en:caraway,"Caraway, seed","Carvi, graine"
en:carbonated-mineral-water,"Water, mineral, non-carbonated, EDEN","Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse)"
en:carbonated-mineral-water,"Water, mineral, non-carbonated, MONT-BLANC","Eau minérale Mont-Blanc, embouteillée, non gazeuse, faiblement minéralisée (Italie)"
en:carbonated-mineral-water,"Water, mineral, carbonated ou non-carbonated, CAROLA","Eau minérale Carola, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (Ribeauville, 68)"
en:carbonated-natural-mineral-water,"Water, mineral, non-carbonated, EDEN","Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse)"
en:carbonated-water,"Mineral still water (Dax), bottled, averagely mineralized","Eau minérale Dax, embouteillée, non gazeuse, moyennement minéralisée (Dax, 40)"
en:carbonated-water,"Mineral still water (Chantemerle), bottled, lightly mineralized","Eau minérale Chantemerle, embouteillée, non gazeuse, faiblement minéralisée (Le Pestrin, 07)"
en:carbonated-water,"Mineral still water (Evian), bottled, lightly mineralized","Eau minérale Evian, embouteillée, non gazeuse, faiblement minéralisée (Evian, 74)"
en:carbonated-water,"Mineral still water (Didier), bottled, strongly mineralized","Eau minérale Didier, embouteillée non gazeuse, fortement minéralisée (Martinique)"
en:carbonated-water,"Mineral still water (Abatilles), bottled, lightly mineralized","Eau minérale Abatilles, embouteillée, non gazeuse, faiblement minéralisée (Arcachon, 33)"
en:carbonated-water,"Mineral still water (Clos de l'Abbaye), bottled, averagely mineralized","Eau minérale Clos de l'Abbaye, embouteillée, non gazeuse, moyennement minéralisée (St-Amand, 59)"
en:carbonated-water,"Mineral sparkling water (Aziac), bottled, lightly mineralized","Eau minérale Aizac, embouteillée, gazeuse, faiblement minéralisée (Aizac, 07)"
en:carbonated-water,"Mineral sparkling water (Chateauneuf), bottled, strongly mineralized","Eau minérale Chateauneuf, embouteillée, gazeuse, fortement minéralisée (Chateauneuf, 63)"
en:carbonated-water,"Water, mineral, non-carbonated, EDEN","Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse)"
en:carbonated-water,"Mineral still water (Hépar), bottled, strongly mineralized","Eau minérale Hépar, embouteillée, non gazeuse, fortement minéralisée (Vittel, 88)"
en:carbonated-water,"Water, mineral, carbonated ou non-carbonated, CAROLA","Eau minérale Carola, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (Ribeauville, 68)"
en:carbonated-water,"Mineral sparkling water (Didier), bottled, strongly mineralized","Eau minérale Didier, embouteillée, gazeuse, fortement minéralisée (Martinique)"
en:carbonated-water,"Mineral sparkling water (Arcens), bottled, averagely mineralized","Eau minérale Arcens, embouteillée, gazeuse, moyennement minéralisée (Arcens, 07)"
en:carbonated-water,"Mineral still water (Aix-les-Bains), bottled, lightly mineralized","Eau minérale Aix-les-Bains, embouteillée, non gazeuse, faiblement minéralisée (Aix-les-Bains, 73)"
en:carbonated-water,"Mineral sparkling water (Ardesy), bottled, strongly mineralized","Eau minérale Ardesy, embouteillée, gazeuse, fortement minéralisée (Ardes, 63)"
en:carbonated-water,"Mineral still water (Celtic), bottled, very lightly mineralized","Eau minérale Celtic, embouteillée, gazeuse ou non gazeuse, très faiblement minéralisée (Niederbronn, 67)"
en:carbonated-water,"Water, mineral, non-carbonated, MONT-BLANC","Eau minérale Mont-Blanc, embouteillée, non gazeuse, faiblement minéralisée (Italie)"
en:carbonated-water,"Mineral still water (Chambon), bottled, lightly mineralized","Eau minérale Chambon, embouteillée, non gazeuse, faiblement minéralisée (Chambon, 45)"
en:carbonated-water,"Mineral still water (Amanda), bottled, strongly mineralized","Eau minérale Amanda, embouteillée, non gazeuse, fortement minéralisée (St-Amand, 59)"
en:carbonated-water,"Mineral sparkling water (Chateldon), bottled, strongly mineralized","Eau minérale Chateldon, embouteillée, gazeuse, fortement minéralisée (Chateldon, 63)"
en:carbonated-water,"Mineral sparkling water (Auvergne), bottled, strongly mineralized","Eau minérale Auvergne, embouteillée, gazeuse, fortement minéralisée (Cornillon, 38)"
en:carbonated-water,"Mineral still water (Contrex), bottled, strongly mineralized","Eau minérale Contrex, embouteillée, non gazeuse, fortement minéralisée (Contrexéville, 88)"
en:cardamom,"Cardamom, powder","Cardamome, poudre"
en:carrot,"Carrot, raw","Carotte, crue"
en:carrot-juice,"Carrot, raw","Carotte, crue"
en:carrot-puree,"Carrots, puree","Carotte, purée"
en:cashew-nuts,"Cashew nut, grilled, salted","Noix de cajou, grillée, salée"
en:cassia,"Cinnamon, powder","Cannelle, poudre"
en:cauliflower,"Cauliflower, raw","Chou-fleur, cru"
en:cayenne-pepper,Cayenne pepper,Poivre de Cayenne ou piment de Cayenne
en:celeriac,"Celeriac, raw","Céleri-rave, cru"
en:celery,"Celery stalk, raw","Céleri branche, cru"
en:celery-puree,"Celeriac, puree","Céleri-rave, purée"
en:champagne,Champagne,Champagne
en:chard,"Swiss chard, raw","Bette ou blette, crue"
en:cheddar,"Cheddar cheese, from cow's milk",Cheddar
en:cheese,"Processed cheese, around 20% fat, in wedges or cubes",Fromage fondu en portions ou en cubes environ 20% MG
en:cheese,"Coulommiers cheese, from cow's milk",Coulommiers
en:cheese,"Feta-type cheese from cow's milk, in oil and spices","Fromage type feta, au lait de vache, à l'huile et aux aromates"
en:cheese,"Camembert cheese, from cow's milk","Camembert, sans précision"
en:cheese,"Brie de Melun cheese, from cow's milk",Brie de Melun
