OFF_FR,CIQUAL_FR,CIQUAL_INDEX_FR,OFF_EN,CIQUAL_EN,OFF_ID,CIQUAL_ID
Farine de malt d'orge,Farine d'orge,Farine d'orge,Barley malt flour,Barley flour,en:barley-malt-flour,9550
Basilic,"Basilic, frais",Basilic,Basil,"Basil, fresh",en:basil,11033
Riz basmati,"Riz thaï ou basmati, cru","Riz thaï ou basmati, cru",Basmati rice,"Basmati rice, raw",en:basmati-rice,9119
Laurier,"Laurier, feuille",Laurier,Bay leaf,"Bay, leaves",en:bay-leaf,11053
Haricot,"Haricot blanc, appertisé, égoutté","Haricot blanc, appertisé, égoutté",Beans,"Haricot bean, canned, drained",en:beans,20511
Haricot,"Haricot flageolet, appertisé, égouttés",Haricot flageolet,Beans,"Flageolet bean, canned, drained",en:beans,20508
Haricot,"Haricot rouge, appertisé, égoutté",Haricot rouge,Beans,"Red kidney bean, canned, drained",en:beans,20524
Beaufort,Beaufort,Beaufort,Beaufort,"Beaufort cheese, from cow's milk",en:beaufort,12105
Sauce béchamel,"Sauce béchamel, préemballée",Sauce béchamel,Bechamel sauce,"Bechamel sauce, prepacked",en:bechamel-sauce,11101
Sauce béchamel,"Sauce béchamel, maison",Sauce béchamel,Bechamel sauce,"Bechamel sauce, home-made",en:bechamel-sauce,11143
Bœuf,"Bœuf, steak haché 10% MG, cru","Bœuf, steak haché 10% MG, cru",Beef,"Beef, minced steak, 10% fat, raw",en:beef,6252
Bœuf,"Boeuf, tende de tranche, crue","Boeuf, tende de tranche, crue",Beef,"Beef, topside, raw",en:beef,6160
Bœuf,"Boeuf, plat de côtes, cru","Boeuf, plat de côtes, cru",Beef,"Beef, short ribs, raw",en:beef,6122
Bœuf,"Boeuf, hampe, crue","Boeuf, hampe, crue",Beef,"Beef, thin flank, raw",en:beef,6130
Bœuf,"Bœuf, steak haché 5% MG, cru","Bœuf, steak haché 5% MG, cru",Beef,"Beef, minced steak, 5% fat, raw",en:beef,6250
Bœuf,"Boeuf, jarret, cru","Boeuf, jarret, cru",Beef,"Beef, knuckle, raw",en:beef,6150
Bœuf,"Boeuf, joue, crue","Boeuf, joue, crue",Beef,"Beef, cheek, raw",en:beef,6140
Bœuf,"Bœuf, steak haché 20% MG, cru","Bœuf, steak haché 20% MG, cru",Beef,"Beef, minced steak, 20% fat, raw",en:beef,6256
Bœuf,"Bœuf, steak haché 15% MG, cru","Bœuf, steak haché 15% MG, cru",Beef,"Beef, minced steak, 15% fat, raw",en:beef,6254
Bœuf,"Boeuf, épaule, crue","Boeuf, épaule, crue",Beef,"Beef, shoulder, raw",en:beef,6002
Bœuf,"Boeuf, faux-filet, cru","Boeuf, faux-filet, cru",Beef,"Beef, sirloin steak, raw",en:beef,6111
Bœuf,"Boeuf, gîte à la noix, cru","Boeuf, gîte à la noix, cru",Beef,"Beef, round, raw",en:beef,6102
Bœuf,"Boeuf, entrecôte, crue","Boeuf, entrecôte, crue",Beef,"Beef, rib steak, raw",en:beef,6103
Bœuf,"Boeuf, côte, crue","Boeuf, côte, crue",Beef,"Beef, rib, raw",en:beef,6001
Bouillon de bœuf,"Bouillon de boeuf, déshydraté reconstitué",Bouillon de bœuf,Beef broth,"Broth, stock or bouillon, beef, dehydrated and reconstituted",en:beef-broth,25930
Gélatine de bœuf,"Gélatine, sèche",Gélatine,Beef gelatin,"Gelatine, dried",en:beef-gelatin,11007
Cœur de bœuf,"Coeur, boeuf, cru","Coeur, bœuf, cru",Beef heart,"Heart, beef, raw",en:beef-heart,40052
Langue de bœuf,"Langue, boeuf, crue","Langue, boeuf, crue",Beef tongue,"Tongue, beef, raw",en:beef-tongue,40202
Bière,"Bière ""de spécialités"" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)",Bière abbaye,Beer,"Beer, ""specialty"", from abbey or regional (varying alcohol content)",en:beer,5011
Bière,Bière brune,Bière brune,Beer,"Beer, dark",en:beer,5000
Bière,"Bière ""coeur de marché"" (4-5° alcool)",Bière 4 5,Beer,"Beer, regular (4-5° alcohol)",en:beer,5001
Bière,Bière forte (>8° alcool),Bière forte 8,Beer,"Beer, strong (>8° alcohol)",en:beer,5002
Bière,"Bière ""spéciale"" (5-6° alcool)",Bière 5 6,Beer,"Beer, special (5-6° alcohol)",en:beer,5010
Bière,Bière faiblement alcoolisée (3° alcool),Bière 3,Beer,"Beer, low alcohol-content (3° alcohol)",en:beer,5008
Sucre de betterave,Sucre blanc,Sucre,Beet sugar,"Sugar, white",en:beet-sugar,31016
Betterave,"Betterave rouge, crue",Betterave crue,Beetroot,"Beetroot, raw",en:beetroot,20091
Chicorée,"Salade ou chicorée frisée, crue",Salade ou chicorée frisée,Belgian endive,"Curly endive, raw",en:belgian-endive,20012
Chicorée,"Chicorée verte, crue","Chicorée verte, crue",Belgian endive,"Green endive, raw",en:belgian-endive,20163
Chicorée,"Chicorée rouge, crue","Chicorée rouge, crue",Belgian endive,"Red endive, raw",en:belgian-endive,20162
Poivron,"Poivron jaune, cru","Poivron jaune, cru",Bell pepper,"Sweet pepper, yellow, raw",en:bell-pepper,20168
Poivron,"Poivron vert, cru","Poivron vert, cru",Bell pepper,"Sweet pepper, green, raw",en:bell-pepper,20085
Poivron,"Poivron rouge, cru","Poivron rouge, cru",Bell pepper,"Sweet pepper, red, raw",en:bell-pepper,20087
Poivron,"Poivron, vert, jaune ou rouge, cru","Poivron, vert, jaune ou rouge, cru",Bell pepper,"Sweet pepper, green, yellow or red, raw",en:bell-pepper,20041
Fruit rouge,"Fruits rouges, crus (framboises, fraises, groseilles, cassis)","Fruits rouges (framboises, fraises, groseilles, cassis)",Berries,"Red berries (raspberries, strawberries, red currants, black currants) , raw",en:berries,13997
Biscuit,Biscuit sec petit beurre,Petit beurre,Biscuit,Butter biscuit (cookie),en:biscuit,24015
Biscuit,"Biscuit sec, avec matière grasse végétale",Biscuit avec matière grasse végétale,Biscuit,"Biscuit (cookie), with vegetal fat",en:biscuit,24010
Biscuit,Biscuit sec à teneur garantie en vitamines,Biscuit sec à teneur garantie en vitamines,Biscuit,Biscuit (cookie) vitamins content guaranteed,en:biscuit,24002
Biscuit,Biscuit sec à teneur garantie en vitamines et minéraux,Biscuit sec à teneur garantie en vitamines et minéraux,Biscuit,Biscuit (cookie) vitamins and chemical elements content guaranteed,en:biscuit,24003
Biscuit,Biscuit sec nature,Biscuit sec nature,Biscuit,"Biscuit (cookie), plain",en:biscuit,24001
Biscuit,"Biscuit sec, sans précision",Biscuit sec,Biscuit,Biscuit (cookie),en:biscuit,24000
Biscuit,"Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse",Tuile allégée en matière grasse,Biscuit,"Crispy biscuit (cookie), without chocolate, reduced fat",en:biscuit,24031
Carotte noire,"Carotte, crue","Carotte, crue",Black carrot,"Carrot, raw",en:black-carrot,20009
Jus de carotte noire,"Jus de carotte, pur jus",Jus de carotte,Black carrot juice,"Carrot juice, pure juice",en:black-carrot-juice,2006
Cerise noire,"Cerise, dénoyautée, crue",Cerise,Black cherry,"Cherry, pitted, raw",en:black-cherry,13008
Olives noires,"Olive noire, à l'huile (à la grecque)",Olive noire à la grecque,Black olive,"Olives, black, in oil (Greek olive)",en:black-olive,13131
Poivre noir,"Poivre noir, poudre",Poivre noir,Black pepper,"Black pepper, powder",en:black-pepper,11015
Extrait de poivre noir,"Poivre noir, poudre",Poivre noir,Black pepper extract,"Black pepper, powder",en:black-pepper-extract,11015
Graines de poivre noir,"Poivre noir, poudre",Poivre noir,Black peppercorns,"Black pepper, powder",en:black-peppercorns,11015
Dorade grise,"Dorade grise, ou daurade grise, ou griset, crue","Dorade grise, ou daurade grise, ou griset, crue",Black sea bream,"Black seabream, raw",en:black-sea-bream,26099
Riz sauvage noir,"Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru","Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru",Black wild rice,"Rice, mix of species (white, wholegrain, wild, red,etc.), raw",en:black-wild-rice,9121
Riz sauvage noir,"Riz sauvage, cru","Riz sauvage, cru",Black wild rice,"Wild rice, raw",en:black-wild-rice,9108
Mûre,"Mûre (de ronce), crue",Mûre,Blackberry,"Blackberry, raw",en:blackberry,13029
Cassis,"Cassis, cru",Cassis,Blackcurrant,"Black currant, raw",en:blackcurrant,13007
Jus de cassis,"Cassis, cru",Cassis,Blackcurrant juice,"Black currant, raw",en:blackcurrant-juice,13007
Jus de cassis à base de concentré,"Jus de fruits, à base de concentré (aliment moyen)",Jus de fruits,Blackcurrant juice from concentrate,"Fruit juice, from concentrate (average)",en:blackcurrant-juice-from-concentrate,2077
Purée de cassis,"Cassis, cru",Cassis,Blackcurrant puree,"Black currant, raw",en:blackcurrant-puree,13007
Mélange de miels non originaires de l'UE,Miel,Miel,Blend of non-EU honey,Honey,en:blend-of-non-eu-honey,31008
,Whisky,Whisky,Blended scotch whisky,Whisky,en:blended-scotch-whisky,1005
Hoki,"Grenadier bleu ou hoki de Nouvelle-Zélande, cru","Grenadier bleu ou hoki de Nouvelle-Zélande, cru",Blue grenadier,"Blue grenadier, raw",en:blue-grenadier,26214
Hoki,"Hoki, tout lieu de pêche, cru","Hoki, cru",Blue grenadier,"Grenadier, from any fishing spot, raw",en:blue-grenadier,26213
Moule commune,"Moule commune, crue","Moule commune, crue",Blue mussel,"Mussel, common, raw",en:blue-mussel,10014
Merlan bleu,"Merlan, cuit à la vapeur",Merlan,Blue whiting,"Whiting, steamed",en:blue-whiting,26022
Myrtille,"Myrtille, crue",Myrtille,Blueberry,"Blueberry, raw",en:blueberry,13028
Jus de myrtille,"Myrtille, crue",Myrtille,Blueberry juice,"Blueberry, raw",en:blueberry-juice,13028
Jus de myrtille à base de concentré,"Jus de fruits, à base de concentré (aliment moyen)",Jus de fruits,Blueberry juice from concentrate,"Fruit juice, from concentrate (average)",en:blueberry-juice-from-concentrate,2077
Purée de myrtilles,"Myrtille, crue",Myrtille,Blueberry puree,"Blueberry, raw",en:blueberry-puree,13028
Œuf dur,"Oeuf, dur",Oeuf cuit,Boiled egg,"Egg, hard-boiled",en:boiled-egg,22010
Sauce bolognaise,"Sauce tomate à la viande ou Sauce bolognaise, préemballée",Sauce bolognaise,Bolognese sauce,"Tomato sauce, with meat or Bolognese sauce, prepacked",en:bolognese-sauce,11114
Extrait de vanille bourbon,"Vanille, extrait aqueux","Vanille, extrait aqueux",Bourbon Vanille Extrakt,"Vanilla, aqueous extract",en:bourbon-vanilla-extract,11098
Son,Son de blé,Son de blé,Bran,Wheat bran,en:bran,9621
Son,Son de maïs,Son de maïs,Bran,Maize/corn bran,en:bran,9641
Son,Son (aliment moyen),Son,Bran,Bran (average),en:bran,9647
Son,Son d'avoine,Son d'avoine,Bran,Oat bran,en:bran,9640
Son,Son de riz,Son de riz,Bran,Rice bran,en:bran,9643
Noix du brésil,Noix du Brésil,Noix du Brésil,Brazil nut,Brazil nut,en:brazil-nut,15008
Pain,"Pain, baguette ou boule, au levain",Pain au levain,Bread,"Bread, French bread (baguette or ball), with yeast",en:bread,7002
Pain,"Pain, baguette ou boule, bis (à la farine T80 ou T110)",Pain bis,Bread,"Brown bread, French bread (baguette or ball), with flour type 80 or 110",en:bread,7010
Pain,"Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110)",Pain bio,Bread,"Brear (baguette or ball), made with type T55-T110 flour",en:bread,7025
Pain,"Pain de mie, complet","Pain de mie, complet",Bread,"Sandwich loaf, wholemeal",en:bread,7111
Pain,Pain complet ou intégral (à la farine T150),Pain complet,Bread,"Bread, wholemeal or integral bread (made with flour type 150)",en:bread,7110
Pain,"Pain, baguette, de tradition française",Baguette tradition,Bread,"Bread, French bread, baguette, unsalted",en:bread,7007
Pain,"Pain courant français, 400g ou boule",Pain courant français,Bread,"Bread, French bread, ball, 400g",en:bread,7012
Pain,"Pain, baguette ou boule, de campagne",Pain campagne,Bread,"Country-style bread, French bread (baguette or ball)",en:bread,7100
Pain,"Pain de mie, sans croûte, préemballé","Pain de mie, sans croûte",Bread,"Sandwich loaf, crust less, prepacked",en:bread,7201
Pain,"Pain de mie, multicéréale","Pain de mie, multicéréale",Bread,"Sandwich loaf, multigrain",en:bread,7113
Pain,"Pain, baguette ou boule, aux céréales et graines, artisanal",Pain céréales et graines,Bread,"Bread, French bread, (baguette or ball), multigrain, from bakery",en:bread,7255
Pain,Pain blanc maison (avec farine pour machine à pain),Pain blanc maison,Bread,"Bread, home-made, with flour for home-made bread preparation",en:bread,7260
Pain,Pain de campagne maison (avec farine pour machine à pain),Pain de campagne maison (avec farine pour machine à pain),Bread,"Country-style bread, home-made (with flour for bread making machine)",en:bread,7261
Pain,Pain (aliment moyen),Pain,Bread,Bread (average),en:bread,7000
Pain,"Pain, baguette, courante",Baguette,Bread,"Bread, French bread, baguette",en:bread,7001
Pain,Pain panini,Pain panini,Bread,Panini bread,en:bread,7170
Pain,"Pain, sans gluten",Pain sans gluten,Bread,"Bread, gluten free",en:bread,7130
Pain,"Pain de seigle, et froment",Pain de seigle et froment,Bread,"Rye bread, and wheat",en:bread,7125
Pain,Pain au son,Pain au son,Bread,Bran grain bread,en:bread,7115
Pain,"Pain, baguette, sans sel",Baguette sans sel,Bread,"Bread, French bread, without salt",en:bread,7160
Chapelure,Chapelure,Chapelure,Bread crumbs,Breadcrumbs,en:bread-crumbs,7500
Fruit à pain,"Fruit à pain, cru","Fruit à pain, cru",Breadfruit,"Breadfruit, raw",en:breadfruit,54500
Pain de mie,"Pain de mie, au son",Pain de mie au son,Breadmeal,"Sandwich loaf, bran grain",en:breadmeal,7112
Pain de mie,"Pain de mie, multicéréale","Pain de mie, multicéréale",Breadmeal,"Sandwich loaf, multigrain",en:breadmeal,7113
Pain de mie,"Pain de mie, complet","Pain de mie, complet",Breadmeal,"Sandwich loaf, wholemeal",en:breadmeal,7111
Pain de mie,"Pain de mie, courant","Pain de mie, courant",Breadmeal,Sandwich loaf,en:breadmeal,7200
Pain de mie,"Pain de mie, sans croûte, préemballé","Pain de mie, sans croûte",Breadmeal,"Sandwich loaf, crust less, prepacked",en:breadmeal,7201
Pain de mie,"Pain de mie brioché, préemballé",Pain de mie brioché,Breadmeal,"Brioche sandwich bread, prepacked",en:breadmeal,7210
Brioche,"Brioche, préemballée",Brioche,Brioche,"Brioche, prepacked",en:brioche,7740
Brioche,"Brioche, sans précision",Brioche,Brioche,Brioche,en:brioche,7741
Brioche,Pain brioché ou viennois,Pain brioché ou viennois,Brioche,Brioche or Vienna bread,en:brioche,7225
Brioche,"Brioche, de boulangerie traditionnelle",Brioche,Brioche,"Brioche, from bakery",en:brioche,7742
Brioche,Brioche pur beurre,Brioche pur beurre,Brioche,"Brioche, pure butter",en:brioche,7745
Fève,"Fève, pelée, surgelée, crue",Fève pelée,Broad bean,"Broad bean, peeled, frozen, raw",en:broad-bean,20541
Fève,"Fève, fraîche, surgelée",Fève fraîche,Broad bean,"Broad bean, fresh, frozen",en:broad-bean,20536
Brocoli,"Brocoli, cru","Brocoli, cru",Broccoli,"Broccoli, raw",en:broccoli,20057
Pousses de brocoli,"Brocoli, cru","Brocoli, cru",Broccoli cress,"Broccoli, raw",en:broccoli-cress,20057
Brocolis en fleurettes,"Brocoli, cru","Brocoli, cru",Broccoli floret,"Broccoli, raw",en:broccoli-floret,20057
Bouillon,"Bouillon de volaille, déshydraté reconstitué","Bouillon de volaille,",Broth,"Broth, stock or bouillon, poultry, dehydrated and reconstituted",en:broth,25947
Bouillon,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",Bouillon de viande et légumes type pot-au-feu,Broth,"Broth, stock or bouillon, meat and vegetables, dehydrated and reconstituted",en:broth,25909
Bouillon,"Bouillon de viande et légumes type pot-au-feu, dégraissé, déshydraté",Bouillon,Broth,"Broth, stock or bouillon, meat and vegetables, defatted, dehydrated",en:broth,25971
Bouillon,"Bouillon de viande et légumes type pot-au-feu, non dégraissé, déshydraté",Bouillon,Broth,"Broth, stock or bouillon, meat and vegetables, with fat, dehydrated",en:broth,25970
Bouillon,"Bouillon de légumes, déshydraté reconstitué",Bouillon de légumes,Broth,"Broth, stock or bouillon, vegetables, dehydrated and reconstituted",en:broth,25948
Bouillon,"Bouillon de boeuf, déshydraté reconstitué",Bouillon de bœuf,Broth,"Broth, stock or bouillon, beef, dehydrated and reconstituted",en:broth,25930
Bouillon,"Bouillon de volaille, déshydraté","Bouillon de volaille, cube",Broth,"Broth, stock or bouillon, poultry, dehydrated",en:broth,11174
Bouillon,"Bouillon de viande et légumes type pot-au-feu, déshydraté","Bouillon de viande et légumes type pot-au-feu, cube",Broth,"Broth, stock or bouillon, meat and vegetables, dehydrated",en:broth,25918
Bouillon,"Court-bouillon pour poissons, déshydraté","Court-bouillon pour poissons, déshydraté",Broth,"Aromatic stock cube, for fish, dehydrated",en:broth,11172
Bouillon,"Bouillon de boeuf, déshydraté",Bouillon de bœuf cube,Broth,"Broth, stock or bouillon, beef, dehydrated",en:broth,11001
Riz basmati complet,"Riz complet, cru","Riz complet, cru",Brown basmati rice,"Rice, brown, raw",en:brown-basmati-rice,9102
Sucre de canne brun,Sucre roux,Sucre roux,Brown cane sugar,"Sugar, brown",en:brown-cane-sugar,31017
Sucre roux de canne en morceaux,Sucre roux,Sucre roux,Brown cane sugar cubes,"Sugar, brown",en:brown-cane-sugar-cubes,31017
Graines de lin brun,"Lin, brun, graine",Lin,Brown flax seeds,"Flaxseed, brown",en:brown-flax-seeds,15052
Riz long complet,"Riz complet, cru","Riz complet, cru",Brown long grain rice,"Rice, brown, raw",en:brown-long-grain-rice,9102
Riz complet,"Riz complet, cru","Riz complet, cru",Brown rice,"Rice, brown, raw",en:brown-rice,9102
Farine de riz complet,Farine de riz,Farine de riz,Brown rice flour,Rice flour,en:brown-rice-flour,9520
Chou de Bruxelles,"Chou de Bruxelles, cru","Chou de Bruxelles, cru",Brussels sprouts,"Brussels sprout, raw",en:brussels-sprouts,20058
Sarrasin,"Sarrasin entier, cru","Sarrasin entier, cru",Buckwheat,"Buckwheat, whole, raw",en:buckwheat,9380
